id,de,retro_es,nota
d001,Der iPod ist noch im DFU-Modus…,El iPod todavía está en modo DFU…,
d002,mks5lboot.exe wurde nicht neben Aura Studio gefunden.,No se encontró mks5lboot.exe junto a Aura Studio.,
d003,mks5lboot.exe konnte nicht gestartet werden.,No se pudo iniciar mks5lboot.exe.,
d004,"Warten, bis der iPod in den DFU-Modus wechselt…",Esperando a que el iPod entre en modo DFU…,
d005,"Die Prüfsumme von {0} stimmt nicht (erwartet {1}, berechnet {2}): Die Datei ist beschädigt oder nicht die, die das Release veröffentlicht hat.","La suma de comprobación de {0} no coincide (esperada {1}, calculada {2}): el archivo está dañado o no es el que publicó el Release.",
d006,"Die Prüfsumme von {0} stimmt nicht mit der des Releases überein (erwartet {1}, berechnet {2}): Die Datei ist beschädigt oder nicht die, die das Release veröffentlicht hat.","La suma de comprobación de {0} no coincide con la del Release (esperada {1}, calculada {2}): el archivo está dañado o no es el que publicó el Release.",
d007,checksums.txt enthält eine ungültige Zeile.,checksums.txt contiene una línea no válida.,
d008,checksums.txt enthält einen unsicheren Pfad.,checksums.txt contiene una ruta insegura.,
d009,{0} fehlt: Der Bootloader kann nicht geschrieben werden.,Falta {0}: no se puede escribir el bootloader.,
d010,"{0} fehlt: Es gibt nichts, womit sich die Firmware-Dateien prüfen ließen.",Falta {0}: no hay nada con qué verificar los archivos del firmware.,
d011,{0} fehlt (auch nicht in {1}): Ohne dieses Werkzeug kann der Bootloader nicht geschrieben werden.,Falta {0} (tampoco está en {1}): sin esta herramienta no se puede escribir el bootloader.,
d012,"{0} beschreibt {1} nicht, also gibt es nichts, womit es sich prüfen ließe.","{0} no describe a {1}, así que no hay nada con qué verificarlo.",
d013,"{0} stimmt nicht mit dem in {1} festgelegten Hash überein (erwartet {2}, berechnet {3}): Die Datei hat sich geändert und ist nicht vertrauenswürdig.","{0} no coincide con el hash fijado en {1} (esperado {2}, calculado {3}): el archivo cambió y no es confiable.",
d014,rockbox.zip ist unvollständig (es fehlen Codecs oder Plugins): {0}.,rockbox.zip está incompleto (faltan códecs o plugins): {0}.,
d015,rockbox.zip ist keine gültige Datei.,rockbox.zip no es un archivo válido.,
d016,rockbox.zip enthält einen unsicheren Pfad.,rockbox.zip contiene una ruta insegura.,
d017,Du hast die Administratorberechtigung abgebrochen. Ohne diese Berechtigung kann dieser Schritt nicht fortfahren.,"Cancelaste el permiso de administrador. Sin ese permiso, este paso no puede continuar.",
d018,"Der iPod ist wieder mit Apples ursprünglicher Firmware am USB erschienen: Der Bootloader wurde nicht geschrieben. Versuche den DFU-Schritt erneut (der Datenträger ist bereits vorbereitet, er muss nicht noch einmal formatiert werden).","El iPod volvió a aparecer en el USB con el firmware original de Apple: el bootloader no se escribió. Vuelve a intentar el paso de DFU (el disco ya está preparado, no hace falta formatearlo de nuevo).",
d019,Die Datei {0} hat die Integritätsprüfung nicht bestanden.,El archivo {0} no pasó la verificación de integridad.,
d020,"Dein iPod wurde während des Kopierens getrennt. Die vollständige Firmware sind Tausende kleiner Dateien und kann über USB mehrere Minuten dauern — prüfe das Kabel (vermeide USB-Hubs, falls du einen verwendest) und versuche es erneut: Was schon kopiert wurde, geht nicht verloren, das Kopieren geht dort weiter, wo es aufgehört hat.","Tu iPod se desconectó durante la copia. El firmware completo son miles de archivos pequeños y por USB puede tardar varios minutos — revisa el cable (evita concentradores USB si usas uno) e inténtalo de nuevo: lo que ya se copió no se pierde, la copia continúa donde se quedó.",
d021,Es wurde kein angeschlossener iPod erkannt.,No se detectó ningún iPod conectado.,
d022,"Der iPod hat die Firmware empfangen, aber nie bestätigt, dass er sie angewendet hat — er ist weiterhin im DFU-Modus. Falls Windows iTunes oder Apple-Geräte geöffnet hat und den iPod im Wiederherstellungsmodus zeigt, schließe es, OHNE ""Wiederherstellen"" anzutippen (das würde Apples ursprüngliche Firmware neu installieren). Versuche es danach erneut: Der iPod ist bereits im DFU-Modus, der zweite Versuch sollte also schnell wieder hier ankommen.","El iPod recibió el firmware, pero nunca confirmó haberlo aplicado — sigue en modo DFU. Si Windows abrió iTunes o Dispositivos Apple y muestra el iPod en modo de recuperación, ciérralo SIN tocar ""Restaurar"" (eso reinstalaría el firmware original de Apple). Después, inténtalo de nuevo: el iPod ya está en modo DFU, así que el segundo intento debería volver rápido a este mismo punto.",
d023,"Windows hat keinen Treiber für deinen iPod im DFU-Modus, deshalb kann Aura Studio nicht mit ihm sprechen. Installiere Apple-Geräte (oder iTunes) aus dem Microsoft Store, oder weise dem Gerät mit Zadig den WinUSB-Treiber zu; der Schritt mit den Berechtigungen erklärt beide Möglichkeiten.","Windows no tiene un controlador para tu iPod en modo DFU, así que Aura Studio no puede comunicarse con él. Instala Dispositivos Apple (o iTunes) desde Microsoft Store, o asígnale el controlador WinUSB al dispositivo con Zadig; el paso de permisos explica las dos opciones.",
d024,Der iPod im DFU-Modus wurde nicht rechtzeitig erkannt. Versuche die Tastenkombination erneut.,No se detectó a tiempo el iPod en modo DFU. Vuelve a intentar la combinación de botones.,
d025,"Es wurde {0} Datenträger gefunden, der dein iPod sein könnte. Aus Sicherheitsgründen wählt Aura Studio keinen davon aus — trenne die anderen externen Datenträger und versuche es erneut.",Se encontró {0} disco que podría ser tu iPod. Por seguridad Aura Studio no elige ninguno — desconecta los demás discos externos e inténtalo de nuevo.,
d026,"Es wurden {0} Datenträger gefunden, die dein iPod sein könnten. Aus Sicherheitsgründen wählt Aura Studio keinen davon aus — trenne die anderen externen Datenträger und versuche es erneut.",Se encontraron {0} discos que podrían ser tu iPod. Por seguridad Aura Studio no elige ninguno — desconecta los demás discos externos e inténtalo de nuevo.,"alemán no distingue 2-4/5+ como el ruso: una sola forma plural, esperado (d025/d026 son el par uno/otro completo)"
d027,"Für Dual-Boot muss der iPod Apples ursprüngliche Firmware im Format ""winpod"" behalten: eine MBR-Partitionstabelle mit intakter Apple-Firmware-Partition plus einer FAT32-Partition — das Format, das iTunes beim Wiederherstellen auf einem Windows-PC erzeugt. Dieser iPod ist im Mac-Format (Apple/HFS-Partitionen, die Rockbox nicht lesen kann) oder sein Datenträger ist nicht lesbar, und ihn von hier aus vorzubereiten würde den ganzen Datenträger löschen, einschließlich der ursprünglichen Firmware. Möglichkeiten: Stelle den iPod mit iTunes/Apple-Geräte wieder her und versuche Dual-Boot erneut, oder installiere nur die Firmware, wenn du Apples nicht behalten musst.","Para el arranque dual, el iPod debe conservar el firmware original de Apple en formato ""winpod"": una tabla de particiones MBR con la partición del firmware de Apple intacta más una partición FAT32 — el formato que crea iTunes al restaurar en un PC con Windows. Este iPod está en formato Mac (particiones Apple/HFS, que Rockbox no puede leer) o su disco no se puede leer, y prepararlo desde aquí borraría todo el disco, incluido el firmware original. Opciones: restaura el iPod con iTunes/Dispositivos Apple y vuelve a intentar el arranque dual, o instala solo el firmware si no necesitas conservar el de Apple.",
d028,"Die Firmware dieses Releases ist unvollständig: In rockbox.zip fehlen {0} — der iPod bliebe ohne Video oder ohne Audio. Es liegt nicht an deiner Verbindung; versuche es später erneut oder melde, dass dieses Release fehlerhaft ist.","El firmware de este Release está incompleto: en rockbox.zip falta {0} — el iPod se quedaría sin video o sin audio. No es un problema de tu conexión; inténtalo más tarde o reporta que este Release tiene un defecto.",
d029,Das Artefakt {0} fehlt in den Firmware-Dateien. Führe scripts\FirmwareFetch.ps1 erneut aus.,Falta el artefacto {0} entre los archivos del firmware. Vuelve a ejecutar scripts\FirmwareFetch.ps1.,
d030,Der Vorgang endete mit Code {0}: {1},La operación terminó con el código {0}: {1},
d031,"Die neueste Version von {0} konnte nicht heruntergeladen werden: {1} Es wird die Version verwendet, die Aura Studio mitbringt.",No se pudo descargar la versión más reciente de {0}: {1} Se usará la versión que trae Aura Studio.,
d032,"Dem Release {0} fehlt {1}, deshalb kann daraus nicht installiert werden. Es wird die Version verwendet, die Aura Studio mitbringt.","Al Release {0} le falta {1}, así que no se puede instalar desde ahí. Se usará la versión que trae Aura Studio.",
d033,"Der iPod ist nicht mit FAT32 formatiert. Wandle ihn um, bevor du fortfährst.",El iPod no está formateado en FAT32. Conviértelo antes de continuar.,
d034,Du hast die Autorisierung abgebrochen. Ohne diese Berechtigung kann dieser Schritt nicht fortfahren.,"Cancelaste la autorización. Sin ese permiso, este paso no puede continuar.",
d035,Die Datenträgernummer {0} liegt außerhalb des zulässigen Bereichs.,El número de disco {0} está fuera del rango permitido.,
d036,Probelauf abgeschlossen: Der Datenträger wurde erneut geprüft und der Formatierungsplan ist gültig. Es wurde nichts geschrieben.,"Prueba en seco terminada: el disco se volvió a verificar y el plan de formateo es válido. No se escribió nada.","""Probelauf"" (sustantivo derivado de ""proben"", el verbo ya fijado para ""ensayar"" en el glosario) -- consistente con la decisión de B7c"
d037,Die Volumebezeichnung ist leer geblieben.,La etiqueta del volumen quedó vacía.,
d038,Der iPod ist jetzt mit FAT32 formatiert.,El iPod ya está formateado en FAT32.,
d039,"Die Anfrage enthält nicht die erwartete Datenträgergröße, deshalb lässt sie sich nicht erneut prüfen.","La solicitud no contiene el tamaño de disco esperado, así que no se puede volver a verificar.",
d040,Die Größentoleranz darf nicht negativ sein.,La tolerancia de tamaño no puede ser negativa.,
d041,"Der Vorgang mit Administratorrechten endete, ohne ein Ergebnis zu hinterlassen. Es lässt sich nicht feststellen, ob er etwas getan hat, deshalb wird nicht fortgefahren.","La operación con permisos de administrador terminó sin dejar un resultado. No se puede determinar si hizo algo, así que no se continúa.",
d042,Die Administratorberechtigung konnte nicht angefordert werden: {0},No se pudo solicitar el permiso de administrador: {0},
d043,Die Anfrage konnte nicht gelesen werden.,No se pudo leer la solicitud.,
d044,Das Ergebnis des Vorgangs konnte nicht gelesen werden.,No se pudo leer el resultado de la operación.,
d045,"Der automatische Neustart konnte nicht eingerichtet werden, deshalb wurde kein Dienst angehalten.","No se pudo preparar el reinicio automático, así que no se detuvo ningún servicio.","posible matiz entre idiomas: de dice ""Neustart"" (reinicio/reboot del servicio), mientras que fr (""réactivation""), ru (""возобновление"", reanudación) y ja (""戻す仕組み"", mecanismo para revertir/restaurar) describen algo más cercano a ""reanudar/revertir"" que a ""reiniciar"". No lo marco como error -- puede ser que el mecanismo real sí sea un reinicio de servicio (net stop/start) y de sea el más literal -- pero vale que el Experto lo confirme contra el código (¿se reinicia el servicio entero o se reanuda uno pausado?)"
d046,Der Apple-Dienst lief bereits.,El servicio de Apple ya estaba en ejecución.,
d047,Der Apple-Dienst war bereits angehalten.,El servicio de Apple ya estaba detenido.,
d048,Der Apple-Dienst lässt sich nicht anhalten.,El servicio de Apple no se puede detener.,
d049,Auf diesem Computer gibt es keinen Apple-Dienst zum Anhalten.,En esta computadora no hay ningún servicio de Apple que detener.,
d050,Der Apple-Dienst wurde wieder gestartet.,El servicio de Apple se volvió a iniciar.,
d051,Der Apple-Dienst wurde während des Schreibens angehalten.,El servicio de Apple se detuvo durante la escritura.,
d052,Der Apple-Dienst hat nicht rechtzeitig geantwortet.,El servicio de Apple no respondió a tiempo.,
d053,Unbekannter Vorgang mit erhöhten Rechten.,Operación desconocida con permisos elevados.,
