id,ja
e001,mks5lboot.exe を起動できませんでした: {0}
e002,このディスクは MBR の 32 ビットのアドレス範囲に収まりません
e003,このディスクには FAT32 を作れません: {0}
e004,ディスク {0} はもうありません
e005,ディスクのモデルが変わりました（いまは「{0}」）
e006,ディスクにメディアが入っていません
e007,ディスクが USB 接続として見えなくなりました（バス {0}）
e008,ディスクを再度確認できませんでした（{0}）
e009,ディスクのサイズが一致しません（{0} バイト）
e010,ディスクに書き込めませんでした: {0}
e011,フォルダー {0} がありません。{1} のファイルはそこにあるはずです。
e012,{0} は検証できません。Release は {1} を公開しておらず、バイナリの隣に {2} もありません。
e013,{0} はすでに使用中のファームウェアです。
e014,この iPod に、休止状態の {0} のツリーはありません。
e015,ファームウェアを切り替えられませんでした。
e016,Aura Studio は、{0} を休止させたり復帰させたりする方法を知りません。
e017,コピーが中断しました — 再試行しています…
e018,ファームウェアを iPod にコピーしています…
e019,選択的な更新ができませんでした。全体をインストールしています…
e021,取り除くもの {0} 件
e023,書き込むファイル {0} 件
e024,{0} を iPod にインストールしています（書体・アイコン・コーデック）。USB では数分かかることがあります。iPod を外さないでください。
e025,{0} に戻れるように保存しています…
e026,{0} を更新しています: {1}、{2}…
e027,ファイルの整合性を確認しています…
e028,{1} 中 {0} を使用 — 空き {2}
