id,ja,retro_es,nota
d001,iPod はまだ DFUモードです…,El iPod todavía está en modo DFU…,
d002,Aura Studio と同じ場所に mks5lboot.exe が見つかりませんでした。,No se encontró mks5lboot.exe en el mismo lugar que Aura Studio.,
d003,mks5lboot.exe を起動できませんでした。,No se pudo iniciar mks5lboot.exe.,
d004,iPod が DFUモードに入るのを待っています…,Esperando a que el iPod entre en modo DFU…,
d005,{0} のチェックサムが一致しません（期待値 {1}、計算値 {2}）。ファイルが壊れているか、Release が公開したものではありません。,"La suma de comprobación de {0} no coincide (valor esperado {1}, valor calculado {2}). El archivo está dañado, o no es el que publicó el Release.",（）fullwidth → paréntesis latinos; 、fullwidth → coma
d006,{0} のチェックサムが Release のものと一致しません（期待値 {1}、計算値 {2}）。ファイルが壊れているか、Release が公開したものではありません。,"La suma de comprobación de {0} no coincide con la del Release (valor esperado {1}, valor calculado {2}). El archivo está dañado, o no es el que publicó el Release.",
d007,checksums.txt に不正な行があります。,checksums.txt tiene una línea no válida.,
d008,checksums.txt に安全でないパスがあります。,checksums.txt tiene una ruta insegura.,
d009,{0} がありません。ブートローダーを書き込めません。,No está {0}. No se puede escribir el bootloader.,
d010,{0} がありません。ファームウェアのファイルを検証する手がかりがありません。,No está {0}. No hay ninguna pista con qué verificar los archivos del firmware.,
d011,{0} がありません（{1} にもありません）。このツールがないと、ブートローダーを書き込めません。,"No está {0} (tampoco está en {1}). Sin esta herramienta, no se puede escribir el bootloader.",
d012,{0} に {1} の記載がないため、検証する手がかりがありません。,"Como {0} no menciona {1}, no hay ninguna pista con qué verificarlo.",
d013,{0} は {1} に固定されたハッシュと一致しません（期待値 {2}、計算値 {3}）。ファイルが変わっているため、信頼できません。,"{0} no coincide con el hash fijado en {1} (valor esperado {2}, valor calculado {3}). El archivo cambió, así que no se puede confiar en él.",
d014,rockbox.zip が不完全です（コーデックかプラグインが足りません）: {0}。,rockbox.zip está incompleto (faltan códecs o plugins): {0}.,
d015,rockbox.zip は正しいファイルではありません。,rockbox.zip no es un archivo correcto.,
d016,rockbox.zip に安全でないパスがあります。,rockbox.zip tiene una ruta insegura.,
d017,管理者の許可をキャンセルしました。この許可がないと、この手順は続けられません。,Se canceló el permiso de administrador. Sin ese permiso este paso no se puede continuar.,です/ます
d018,iPod は Apple の元のファームウェアで USB に現れました。ブートローダーは書き込まれていません。DFU の手順をもう一度お試しください（ディスクは準備済みなので、フォーマットし直す必要はありません）。,"El iPod volvió a aparecer en el USB con el firmware original de Apple. El bootloader no se escribió. Vuelva a intentar el paso de DFU (el disco ya está preparado, no hace falta volver a formatearlo).",
d019,ファイル {0} は整合性の確認に通りませんでした。,El archivo {0} no pasó la verificación de integridad.,
