id,fr,retro_es,nota
d001,L'iPod est encore en mode DFU…,El iPod todavía está en modo DFU…,
d002,mks5lboot.exe est introuvable à côté d'Aura Studio.,No se encuentra mks5lboot.exe junto a Aura Studio.,
d003,mks5lboot.exe n'a pas pu être démarré.,No se pudo iniciar mks5lboot.exe.,
d004,En attente du passage de l'iPod en mode DFU…,Esperando a que el iPod pase a modo DFU…,
d005,"La somme de contrôle de {0} ne correspond pas (attendu {1}, calculé {2}) : le fichier est endommagé ou n'est pas celui publié par la Release.","La suma de comprobación de {0} no coincide (esperada {1}, calculada {2}): el archivo está dañado o no es el que publicó el Release.",
d006,"La somme de contrôle de {0} ne correspond pas à celle de la Release (attendu {1}, calculé {2}) : le fichier est endommagé ou n'est pas celui publié par la Release.","La suma de comprobación de {0} no coincide con la del Release (esperada {1}, calculada {2}): el archivo está dañado o no es el que publicó el Release.",
d007,checksums.txt contient une ligne non valide.,checksums.txt contiene una línea no válida.,
d008,checksums.txt contient un chemin non sûr.,checksums.txt contiene una ruta insegura.,
d009,{0} manque : le bootloader ne peut pas être écrit.,Falta {0}: no se puede escribir el bootloader.,
d010,{0} manque : il n'y a rien pour vérifier les fichiers du microprogramme.,Falta {0}: no hay nada con qué verificar los archivos del firmware.,
d011,"{0} manque (il n'est pas non plus dans {1}) : sans cet outil, le bootloader ne peut pas être écrit.",Falta {0} (tampoco está en {1}): sin esta herramienta no se puede escribir el bootloader.,
d012,"{0} ne décrit pas {1}, il n'y a donc rien pour le vérifier.","{0} no describe a {1}, así que no hay nada con qué verificarlo.",
d013,"{0} ne correspond pas à l'empreinte fixée dans {1} (attendu {2}, calculé {3}) : le fichier a changé et n'est plus fiable.","{0} no coincide con la huella fijada en {1} (esperado {2}, calculado {3}): el archivo cambió y ya no es confiable.",
d014,rockbox.zip est incomplet (des codecs ou des plugins manquent) : {0}.,rockbox.zip está incompleto (faltan códecs o plugins): {0}.,
d015,rockbox.zip n'est pas un fichier valide.,rockbox.zip no es un archivo válido.,
d016,rockbox.zip contient un chemin non sûr.,rockbox.zip contiene una ruta insegura.,
d017,Vous avez annulé l'autorisation d'administrateur. Cette étape ne peut pas continuer sans cette autorisation.,"Canceló el permiso de administrador. Sin ese permiso, este paso no puede continuar.",registro formal (""vous"")
