id,ru
e001,Не удалось запустить mks5lboot.exe: {0}
e002,диск не помещается в 32-битную адресацию MBR
e003,на этом диске нельзя создать FAT32: {0}
e004,диска {0} больше нет
e005,модель диска изменилась (теперь указано «{0}»)
e006,в диске больше нет носителя
e007,диск больше не отображается подключённым по USB (шина {0})
e008,не удалось повторно опросить диск ({0})
e009,размер диска больше не совпадает ({0} байт)
e010,Не удалось записать на диск: {0}
e011,"Папки {0} нет, а именно там должны лежать файлы {1}."
e012,"{0} нельзя проверить: Release не публикует {1}, и рядом с двоичным файлом нет {2}."
e013,{0} уже является активной прошивкой.
e014,На этом iPod нет спящего дерева {0}.
e015,Не удалось сменить прошивку.
e016,Aura Studio не умеет усыплять и будить {0}.
e017,Копирование прервалось — повтор…
e018,Копирование прошивки на iPod…
e019,Выборочное обновление не удалось; ставится полное…
e020,{0} на удаление
e021.few,{0} на удаление
e021.many,{0} на удаление
e022,{0} файл для записи
e023.few,{0} файла для записи
e023.many,{0} файлов для записи
e024,"Установка {0} на iPod (шрифты, значки, кодеки)… По USB это может занять несколько минут — не отключайте iPod."
e025,"Сохранение {0}, чтобы к ней можно было вернуться…"
e026,"Обновление {0}: {1}, {2}…"
e027,Проверка целостности файлов…
e028,Занято {0} из {1} — свободно {2}
