clase	archivo	linea	palabras	sugerencia	texto
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	19	3	¿PANTALLA?	Cover Art Archive
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	541	2	¿PANTALLA?	Aura Library
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	548	2	¿PANTALLA?	aura.coverArtPolicy
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	549	2	¿PANTALLA?	aura.firmwareFamilyToInstall
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	550	2	¿PANTALLA?	aura.fetchSyncedLyrics
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	551	2	¿PANTALLA?	aura.enrichOnline
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	553	2	¿PANTALLA?	aura.legacyMetadataBannerShown
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	554	2	¿PANTALLA?	aura.coverContaminationReviewShown
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	555	2	¿PANTALLA?	aura.installationID
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	556	2	¿PANTALLA?	aura.knownDeviceNames
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	557	2	¿PANTALLA?	aura.bootloaderVerifiedDisks
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	558	2	¿PANTALLA?	aura.libraryFolderPath
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	559	2	¿PANTALLA?	aura.lastAppUpdateCheckAt
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	560	2	¿PANTALLA?	aura.dismissedAppUpdateTag
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	561	2	¿PANTALLA?	aura.appUpdatesIncludePrereleases
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	562	2	¿PANTALLA?	aura.copyMediaIntoLibrary
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	563	2	¿PANTALLA?	aura.musicOrganization
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	564	2	¿PANTALLA?	aura.musicFilenameFormat
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	565	2	¿PANTALLA?	aura.audioQuality
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	566	2	¿PANTALLA?	aura.photoQuality
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	567	2	¿PANTALLA?	aura.organizePhotosByCategory
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	568	2	¿PANTALLA?	aura.organizeVideosByCategory
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	569	2	¿PANTALLA?	aura.photoCollections
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	570	2	¿PANTALLA?	aura.coverArtProviderOrder
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	571	2	¿PANTALLA?	aura.deezerEnabled
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	572	2	¿PANTALLA?	aura.linkedLibraryFolders
	studio/AuraStudio/Sources/AuraStudio/Models/AppPreferences.swift	573	2	¿PANTALLA?	aura.homologateArtistCollaborations
